########## EXCITATION CURVE - ROTATING COIL ##########

### Configuration Data ###
id                             	46002
file                           	BC-008_D_BOA_000.0A_210211_130135.dat
date                           	11/02/2021
hour                           	13:01:35
operator                       	Lucas Balthazar
software_version               	v3.6
bench                          	1
temperature(C)                 	23.79
integrator_gain                	100
n_integration_points           	120
velocity(rps)                  	1.0
acceleration(rps^2)            	4.0
n_collections                  	1
n_turns                        	20
analysis_interval              	6-15
rotation                       	Clockwise
main_coil_current_avg(A)       	+1.150000e-03
main_coil_current_std(A)       	+3.150188e-03
main_coil_volt_avg(V)          	+0.000000e+00
main_coil_volt_std(V)          	+0.000000e+00
magnet_resistance_avg(ohm)     	+0.000000e+00
magnet_resistance_std(ohm)     	+0.000000e+00
ch_coil_current_avg(A)       	+0.000000e+00
ch_coil_current_std(A)       	+0.000000e+00
cv_coil_current_avg(A)       	+0.000000e+00
cv_coil_current_std(A)       	+0.000000e+00
qs_coil_current_avg(A)       	+0.000000e+00
qs_coil_current_std(A)       	+0.000000e+00
trim_coil_current_avg(A)   	+0.000000e+00
trim_coil_current_std(A)   	+0.000000e+00

### Rotating Coil Data ###
rotating_coil_name             	SBG-4_2020-08-06_r=13mm_b1_CALIBRATED
rotating_coil_type             	Radial
measurement_type               	N_bucked
pulse_start_collect            	232433
n_turns_main_coil              	9
main_coil_internal_radius(m)   	0.0
main_coil_external_radius(m)   	0.0129575
n_turns_bucked_coil            	0
bucked_coil_internal_radius(m) 	0.0
bucked_coil_external_radius(m) 	0.0

### Comments ###
comments                       	zero _+Imax_zero_-Imax _zero



##### Reading Data #####

n	avg_L.Nn(T/m^n-2)	std_L.Nn(T/m^n-2)	avg_L.Sn(T/m^n-2)	std_L.Sn(T/m^n-2)	avg_L.Bn(T/m^n-2)	std_L.Bn(T/m^n-2)	avg_angle(rad)  	std_angle(rad)  	avg_Nn/NnMagnet@12.0mm	std_Nn/NnMagnet@12.0mm	avg_Sn/NnMagnet@12.0mm	std_Sn/NnMagnet@12.0mm
1   	  +5.080424e-06   	  +2.840967e-07   	  -8.610784e-06   	  +2.587599e-07   	  +9.997815e-06   	  +2.655340e-07   	  -1.037757e+00   	  +2.778364e-02   	  +1.000000e+00   	  +7.908267e-02   	  -1.697878e+00   	  +1.075968e-01   
2   	  -3.099939e-05   	  +1.453334e-05   	  -1.665133e-04   	  +1.010928e-05   	  +1.693742e-04   	  +1.028832e-05   	  +6.933679e-01   	  +4.253052e-02   	  -7.468840e-02   	  +3.457118e-02   	  -3.942461e-01   	  +3.246363e-02   
3   	  +1.881192e-04   	  +8.407850e-04   	  -7.187051e-04   	  +6.073838e-04   	  +7.429171e-04   	  +6.249700e-04   	  -4.382641e-01   	  +3.714172e-01   	  +5.294037e-03   	  +2.383315e-02   	  -2.052560e-02   	  +1.725339e-02   
4   	  -9.512979e-04   	  +5.730457e-02   	  -4.073813e-02   	  +1.848257e-02   	  +4.074923e-02   	  +1.852590e-02   	  +3.868623e-01   	  +3.514825e-01   	  -7.499940e-04   	  +1.949096e-02   	  -1.378193e-02   	  +6.334031e-03   
5   	  +4.985428e-01   	  +5.413112e+00   	  +3.778833e-01   	  +2.211006e+00   	  +6.255723e-01   	  +4.515935e+00   	  +1.297172e-01   	  +1.187516e+00   	  +1.536950e-03   	  +2.209418e-02   	  +1.630936e-03   	  +9.024741e-03   
6   	  +4.495819e+01   	  +1.639974e+02   	  +1.645042e+01   	  +2.242064e+02   	  +4.787333e+01   	  +1.722063e+02   	  +5.846216e-02   	  +7.588248e-01   	  +2.086961e-03   	  +8.033308e-03   	  +6.727032e-04   	  +1.098141e-02   
7   	  +1.015079e+03   	  +2.069015e+04   	  -2.374247e+03   	  +1.921572e+04   	  +2.582137e+03   	  +1.945088e+04   	  -1.666826e-01   	  +1.132463e+00   	  +7.138816e-04   	  +1.216054e-02   	  -1.356246e-03   	  +1.129417e-02   
8   	  +1.440026e+06   	  +4.661567e+06   	  +8.579116e+04   	  +4.037519e+06   	  +1.442580e+06   	  +4.659507e+06   	  +7.438221e-03   	  +3.500583e-01   	  +1.015697e-02   	  +3.288255e-02   	  +2.069126e-04   	  +2.847631e-02   
9   	  -4.208458e+07   	  +1.078306e+08   	  +4.206398e+07   	  +5.156941e+07   	  +5.950202e+07   	  +8.453173e+07   	  -8.723926e-02   	  +1.578019e-01   	  -3.719230e-03   	  +9.128415e-03   	  +3.609939e-03   	  +4.369115e-03   
10  	  +4.799882e+09   	  +2.898299e+10   	  +2.665788e+09   	  +2.725228e+10   	  +5.490473e+09   	  +2.858444e+10   	  +5.069691e-02   	  +5.039645e-01   	  +5.028792e-03   	  +2.943697e-02   	  +2.310152e-03   	  +2.767838e-02   
11  	  -1.011497e+11   	  +3.093651e+11   	  -1.067580e+11   	  +3.819893e+11   	  +1.470664e+11   	  +3.495206e+11   	  +7.385148e-02   	  +2.136492e-01   	  -1.286069e-03   	  +3.770999e-03   	  -1.191692e-03   	  +4.656040e-03   
12  	  -8.021896e+12   	  +4.275026e+13   	  +7.060465e+12   	  +2.980217e+13   	  +1.068649e+13   	  +3.764994e+13   	  -6.014491e-02   	  +2.809705e-01   	  -1.310991e-03   	  +6.252539e-03   	  +1.039803e-03   	  +4.358929e-03   
13  	  -5.031096e+14   	  +1.911960e+15   	  -1.173066e+14   	  +2.455681e+15   	  +5.166044e+14   	  +1.943718e+15   	  +1.762081e-02   	  +3.619228e-01   	  -8.865461e-04   	  +3.355837e-03   	  -2.865741e-04   	  +4.309715e-03   
14  	  +3.322604e+16   	  +2.336418e+17   	  +5.692772e+16   	  +2.976053e+17   	  +6.591461e+16   	  +2.827273e+17   	  +7.446310e-02   	  +2.724751e-01   	  +5.752497e-04   	  +4.920629e-03   	  +1.207142e-03   	  +6.267897e-03   
15  	  +5.593150e+18   	  +1.710637e+19   	  +2.109662e+18   	  +1.362506e+19   	  +5.977792e+18   	  +1.671235e+19   	  +2.404576e-02   	  +1.573109e-01   	  +1.361953e-03   	  +4.323823e-03   	  +6.422831e-04   	  +3.443438e-03   

magnetic_center_x(um) 	0.0
magnetic_center_y(um) 	0.0


##### Raw Data Stored(V.s) #####

##### Turn_1########### Turn_2########### Turn_3########### Turn_4########### Turn_5########### Turn_6########### Turn_7########### Turn_8########### Turn_9########### Turn_10########## Turn_11########## Turn_12########## Turn_13########## Turn_14########## Turn_15########## Turn_16########## Turn_17########## Turn_18########## Turn_19########## Turn_20#####
2.764705402569515e-07	2.6995287896629e-07	2.7420252223466846e-07	2.80099245912858e-07	2.829703684881465e-07	2.90997120941906e-07	3.074152657234425e-07	2.96503253025544e-07	3.0192847844998645e-07	3.01030134579595e-07
3.2134103747698696e-07	3.01329657190757e-07	2.85949049327921e-07	3.04333841825172e-07	3.1164147685558296e-07	2.95868121753571e-07	2.91912458010332e-07	3.035075580725805e-07	2.860837631146355e-07	2.840078214205265e-07
2.713647701569145e-07	2.8968091797313797e-07	2.7499862696340353e-07	2.9038136247548946e-07	2.852534760223085e-07	2.79643313092455e-07	2.8998209231188804e-07	2.879228078711225e-07	2.988236504108525e-07	2.9698421371902397e-07
3.0321184283363097e-07	2.755665973097885e-07	2.95017258053993e-07	2.919605820750545e-07	2.9849683230058947e-07	2.929743229174515e-07	2.995476950217875e-07	2.843357313508875e-07	2.7183192912613647e-07	2.81198288689626e-07
2.688349393054305e-07	2.770413941277965e-07	2.73394491472358e-07	2.931799210159415e-07	2.7795681518224747e-07	2.88978065867693e-07	2.740156810432005e-07	2.844929534262845e-07	2.945632289197455e-07	2.74903666621678e-07
2.90728393252938e-07	2.960485240066385e-07	2.82119616770165e-07	2.981288049852725e-07	2.970277185454765e-07	2.838637291802025e-07	2.79540458052461e-07	2.8240321000791747e-07	2.7309471690272703e-07	2.79641045466431e-07
2.679391990056555e-07	2.7950210437668947e-07	2.750583691124835e-07	2.78664706456777e-07	2.84367366134612e-07	2.75921914720847e-07	2.85818422867164e-07	2.77187670008021e-07	2.794521326165605e-07	2.80956016638327e-07
2.98058844521151e-07	2.81628521747767e-07	2.74009774017211e-07	2.86621162501921e-07	2.8092449383619897e-07	2.7154923174066354e-07	2.659651045178615e-07	2.753880427519305e-07	2.703446463669645e-07	2.69346163008792e-07
2.650557024707995e-07	2.719138996098585e-07	2.7098551669268e-07	2.73387576612591e-07	2.6078713432295495e-07	2.671810560173505e-07	2.5860864553806997e-07	2.74431020557084e-07	2.781947759444945e-07	2.81648986373323e-07
2.814548943774955e-07	2.861181414459475e-07	2.682383016861015e-07	2.679309403675185e-07	2.639773202873075e-07	2.706041915701415e-07	2.6739611655557353e-07	2.65211020860041e-07	2.6969031026168203e-07	2.5900604001098895e-07
2.62949189817591e-07	2.6894748074825197e-07	2.50824501080202e-07	2.69853775307661e-07	2.6387191766734747e-07	2.53632186115696e-07	2.611831290266565e-07	2.6708945512155e-07	2.66250377478675e-07	2.516090997062745e-07
2.553000950911285e-07	2.6905257541899397e-07	2.489020860707755e-07	2.61695724503861e-07	2.677824808471965e-07	2.58950637146434e-07	2.62365234107146e-07	2.6961374288701154e-07	2.720767487574015e-07	2.7536598238953546e-07
2.818452900044255e-07	2.559879136754435e-07	2.533851268537815e-07	2.519520711530415e-07	2.478420408635895e-07	2.51274666851488e-07	2.665079070141e-07	2.59362477237323e-07	2.5283266595009e-07	2.49352531795905e-07
2.5051669183543004e-07	2.407460789300035e-07	2.3729519995182401e-07	2.46423766725412e-07	2.412992397182545e-07	2.531600439681385e-07	2.5343750621690553e-07	2.537233390853075e-07	2.586863887188635e-07	2.52394174253812e-07
2.42184537739795e-07	2.5250808747047653e-07	2.4005389306578897e-07	2.538899116189395e-07	2.553124690507945e-07	2.484801676417175e-07	2.549583554412335e-07	2.474254415574595e-07	2.45616099903167e-07	2.4997596099749546e-07
2.33776992075711e-07	2.42903151246304e-07	2.284565673704305e-07	2.42166872652674e-07	2.46109546537811e-07	2.434326839306955e-07	2.42327594150967e-07	2.42046884437773e-07	2.32117789664703e-07	2.416252739578345e-07
2.542078551926295e-07	2.4250130550736197e-07	2.353810155852585e-07	2.40277828140782e-07	2.38819324636052e-07	2.40838967613425e-07	2.355968319988885e-07	2.377544362275015e-07	2.39193342963482e-07	2.3574638333911153e-07
2.26480975129559e-07	2.2694974383345498e-07	2.20072691803317e-07	2.3692034176296202e-07	2.322361681450285e-07	2.234511747190055e-07	2.37232714255255e-07	2.3685782807091998e-07	2.266457559585335e-07	2.3345855858281948e-07
2.434781764293285e-07	2.4197882765970847e-07	2.3599114697962752e-07	2.4228338943995504e-07	2.3958707004115945e-07	2.27356726725243e-07	2.30126212059673e-07	2.2652888922892352e-07	2.30751572942695e-07	2.301939328930465e-07
2.0832276327102849e-07	2.179363920617905e-07	2.0684063166243898e-07	2.19460992667582e-07	2.20340285679273e-07	2.20613240671268e-07	2.14745408229117e-07	2.181609010421085e-07	2.18361809913843e-07	2.258655386099985e-07
2.3754878213826252e-07	2.28931565047172e-07	2.255822813168385e-07	2.3098338871822002e-07	2.25878752431195e-07	2.20036605753668e-07	2.19503307690175e-07	2.22437139925127e-07	2.23583270937367e-07	2.24731151661252e-07
2.09143237981392e-07	2.0995618193355252e-07	1.9750930832171e-07	2.137953008940375e-07	2.0732408394503749e-07	2.0523887577891548e-07	2.030336374047815e-07	2.132236771501475e-07	2.137183415840255e-07	2.2007796893323248e-07
2.2916604038416098e-07	2.294565764771535e-07	2.16407886100025e-07	2.20118688218888e-07	2.1306452339331898e-07	2.1496440211878702e-07	2.031777156474675e-07	2.1455844105841448e-07	2.14730878624925e-07	2.10572500307656e-07
2.00221907036244e-07	1.9989986213886e-07	1.945930851832285e-07	2.0243645387550202e-07	2.0355107608335048e-07	2.016565584739215e-07	2.02913621194506e-07	2.057783188291305e-07	2.0662782475260202e-07	2.0737775109578247e-07
2.205462057247175e-07	2.1649134033908798e-07	2.076887798097055e-07	2.15160271821437e-07	2.10327428717922e-07	2.069599759835295e-07	2.06397996649356e-07	2.1361962986073797e-07	2.0719474527199999e-07	2.108502005171555e-07
1.89685662377322e-07	1.9005180000422e-07	1.791118619109495e-07	1.91176948476328e-07	1.899452495735115e-07	1.89154407976857e-07	1.8736940830872e-07	1.913632577554835e-07	1.968651485384565e-07	1.945159718986075e-07
2.12116319744395e-07	2.0986745056457398e-07	2.004465000026855e-07	2.0963611071071098e-07	2.04152640890266e-07	2.043148741392745e-07	1.977755304239215e-07	2.026479030092325e-07	2.02508849937993e-07	1.9764003276632698e-07
1.790695748838295e-07	1.787825382138315e-07	1.66250922575305e-07	1.840174090261735e-07	1.808416126891405e-07	1.76598016423624e-07	1.8498073018235098e-07	1.8591654587397098e-07	1.853226378045915e-07	1.900190734005945e-07
